start_lat,start_lon,end_lat,end_lon,airport1,airport2,delayRate
32.84711,-96.85177,35.39309,-97.60073,DAL,OKC,0.14689265536723164
41.97960,-87.90446,18.33731,-64.97336,ORD,STT,0.16666666666666666
41.97960,-87.90446,27.97547,-82.53325,ORD,TPA,0.2710084033613445
44.88055,-93.21692,41.97960,-87.90446,MSP,ORD,0.274896265560166
39.17540,-76.66820,32.89595,-97.03720,BWI,DFW,0.2542372881355932
33.64044,-84.42694,41.44853,-90.50754,ATL,MLI,0.2832369942196532
20.89865,-156.43046,37.61900,-122.37484,OGG,SFO,0.18627450980392157
36.12448,-86.67818,42.21206,-83.34884,BNA,DTW,0.21428571428571427
41.97960,-87.90446,44.74144,-85.58224,ORD,TVC,0.3163265306122449
44.88055,-93.21692,39.49858,-119.76806,MSP,RNO,0.0
38.94453,-77.45581,32.73356,-117.18966,IAD,SAN,0.14534883720930233
33.94254,-118.40807,35.87764,-78.78747,LAX,RDU,0.11764705882352941
36.12448,-86.67818,39.04614,-84.66217,BNA,CVG,0.10989010989010989
33.94254,-118.40807,41.78598,-87.75242,LAX,MDW,0.2181208053691275
36.08036,-115.15233,29.99339,-90.25803,LAS,MSY,0.11206896551724138
35.21401,-80.94313,35.04242,-89.97667,CLT,MEM,0.10227272727272728
39.17540,-76.66820,40.78839,-111.97777,BWI,SLC,0.09615384615384616
42.88082,-85.52277,26.53617,-81.75517,GRR,RSW,0.15384615384615385
38.17439,-85.73600,27.97547,-82.53325,SDF,TPA,0.11428571428571428
41.78598,-87.75242,36.89461,-76.20122,MDW,ORF,0.2903225806451613
40.78839,-111.97777,42.48180,-114.48774,SLC,TWF,0.05357142857142857
36.12448,-86.67818,40.63975,-73.77893,BNA,JFK,0.47368421052631576
21.97598,-159.33896,37.72129,-122.22072,LIH,OAK,0.038461538461538464
39.85841,-104.66700,38.28909,-104.49657,DEN,PUB,0.23469387755102042
38.94453,-77.45581,43.60732,-110.73774,IAD,JAC,0.5
32.89595,-97.03720,36.19837,-95.88824,DFW,TUL,0.18619246861924685
64.81368,-147.85967,47.44898,-122.30931,FAI,SEA,0.12903225806451613
36.08036,-115.15233,38.69542,-121.59077,LAS,SMF,0.1735357917570499
25.90683,-97.42586,29.98047,-95.33972,BRO,IAH,0.10648148148148148
36.08036,-115.15233,27.97547,-82.53325,LAS,TPA,0.13
33.56294,-86.75355,42.21206,-83.34884,BHM,DTW,0.24107142857142858
39.64257,-106.91770,40.63975,-73.77893,EGE,JFK,0.2807017543859649
29.98047,-95.33972,40.77724,-73.87261,IAH,LGA,0.2529832935560859
33.81772,-118.15161,47.44898,-122.30931,LGB,SEA,0.12318840579710146
36.08036,-115.15233,44.88055,-93.21692,LAS,MSP,0.1514476614699332
39.17540,-76.66820,28.42889,-81.31603,BWI,MCO,0.20318021201413428
48.11425,-98.90878,46.92972,-98.67820,DVL,JMS,0.3728813559322034
39.85841,-104.66700,32.11608,-110.94103,DEN,TUS,0.2842377260981912
39.85841,-104.66700,28.42889,-81.31603,DEN,MCO,0.23092369477911648
32.84711,-96.85177,31.94253,-102.20191,DAL,MAF,0.18081180811808117
43.60732,-110.73774,33.94254,-118.40807,JAC,LAX,0.30666666666666664
39.99799,-82.89188,26.53617,-81.75517,CMH,RSW,0.12280701754385964
32.84711,-96.85177,37.64996,-97.43305,DAL,ICT,0.14953271028037382
38.94453,-77.45581,40.77724,-73.87261,IAD,LGA,0.3575418994413408
39.67872,-75.60653,27.97547,-82.53325,ILG,TPA,0.3333333333333333
33.94254,-118.40807,34.42621,-119.84037,LAX,SBA,0.16610169491525423
36.08036,-115.15233,35.87764,-78.78747,LAS,RDU,0.13114754098360656
35.21401,-80.94313,40.49147,-80.23287,CLT,PIT,0.13537117903930132
39.90238,-84.21938,38.94453,-77.45581,DAY,IAD,0.6666666666666666
20.89865,-156.43046,47.44898,-122.30931,OGG,SEA,0.27530364372469635
30.69142,-88.24283,41.97960,-87.90446,MOB,ORD,0.16981132075471697
33.94254,-118.40807,34.89925,-120.45758,LAX,SMX,0.1092436974789916
41.88459,-91.71087,32.89595,-97.03720,CID,DFW,0.43824701195219123
41.97960,-87.90446,35.87764,-78.78747,ORD,RDU,0.20444444444444446
37.62405,-118.83777,37.61900,-122.37484,MMH,SFO,0.19117647058823528
44.88055,-93.21692,32.73356,-117.18966,MSP,SAN,0.07926829268292683
33.64044,-84.42694,40.49147,-80.23287,ATL,PIT,0.1111111111111111
41.97960,-87.90446,38.69542,-121.59077,ORD,SMF,0.30985915492957744
42.96550,-83.74346,44.88055,-93.21692,FNT,MSP,0.2
64.51220,-165.44525,66.88468,-162.59855,OME,OTZ,0.21428571428571427
42.21206,-83.34884,40.77724,-73.87261,DTW,LGA,0.24632352941176472
40.69250,-74.16866,40.78839,-111.97777,EWR,SLC,0.08333333333333333
39.22316,-106.86885,37.61900,-122.37484,ASE,SFO,0.275
45.58872,-122.59750,33.43417,-112.00806,PDX,PHX,0.147117296222664
44.88055,-93.21692,45.63119,-89.46745,MSP,RHI,0.19166666666666668
28.42889,-81.31603,40.49147,-80.23287,MCO,PIT,0.17735849056603772
21.31869,-157.92241,47.44898,-122.30931,HNL,SEA,0.1864406779661017
31.80667,-106.37781,41.97960,-87.90446,ELP,ORD,0.5
40.69250,-74.16866,33.67566,-117.86822,EWR,SNA,0.09174311926605505
39.04614,-84.66217,40.27669,-74.81347,CVG,TTN,0.5
38.94453,-77.45581,45.58872,-122.59750,IAD,PDX,0.3
40.48118,-107.21766,33.94254,-118.40807,HDN,LAX,0.3888888888888889
32.73356,-117.18966,32.11608,-110.94103,SAN,TUS,0.16875
30.19453,-97.66987,35.21401,-80.94313,AUS,CLT,0.1568627450980392
38.03697,-84.60539,41.97960,-87.90446,LEX,ORD,0.3143939393939394
41.41089,-81.84940,32.89595,-97.03720,CLE,DFW,0.2525597269624573
33.64044,-84.42694,34.89567,-82.21886,ATL,GSP,0.16740088105726872
